cat_name,gender,sleep_time,sleep_duration_minutes
Myrtice,Female,4:51:28,541.1
Anetta,Female,1:18:03,670.44
Alwin,Male,19:58:34,491.21
Walden,Male,23:20:10,215.76
Chlo,Female,5:42:11,72.26
Tawsha,Female,5:32:31,963.46
Zed,Male,15:38:12,962.04
Milton,Male,3:25:05,917.49
Andriana,Female,19:09:38,279.94
Franky,Male,9:23:43,77.12
Dory,Male,5:16:47,498.3
Margaret,Female,13:02:39,768.91
Emmalyn,Female,13:59:32,635.59
Yale,Male,20:13:48,784.39
Justina,Female,2:50:12,47.03
Georas,Male,15:42:33,14.29
Cornall,Male,14:03:25,141.46
Roanna,Female,6:24:20,167.09
Burtie,Male,3:44:28,931.83
Annora,Female,19:06:41,826.57
Ameline,Female,20:18:54,856.82
Dewitt,Male,6:27:47,375.15
El,Male,16:24:50,989.18
Ulric,Male,9:44:43,920.54
Jesselyn,Female,22:48:13,24.69
Harmonia,Female,5:00:23,81.64
Ganny,Male,11:07:20,996.84
Hilary,Male,2:33:01,309.85
Caleb,Male,13:10:28,45.42
Tommie,Female,11:38:58,573.95
Kerry,Female,11:01:24,983.72
Patrizius,Male,9:37:08,383.72
Giulietta,Female,4:35:57,210.98
Cirstoforo,Male,20:39:00,320.17
Lucien,Male,15:52:20,213.15
Merrick,Male,14:42:59,285.3
Ricca,Female,8:05:36,179.12
Sidonnie,Female,5:05:50,860.56
Geno,Male,17:48:22,901.72
Jeanie,Female,23:44:50,930.08
Wini,Female,23:12:50,746.65
Amalia,Female,3:05:25,359.18
Ruthann,Female,12:06:37,597.06
Angele,Female,5:35:54,920.54
Ancell,Male,2:56:07,846.04
Marlene,Female,9:41:15,434.43
Nichole,Male,22:36:06,284.01
Roxine,Female,19:15:05,685.23
Raymund,Male,15:55:22,297.08
Hector,Male,17:38:15,103.38
Josie,Female,0:54:34,547.15
Neysa,Female,2:16:27,30.05
Chancey,Male,3:10:49,220.61
Dawn,Female,0:37:47,592.73
Modesty,Female,4:00:07,293.91
Carolann,Female,20:18:50,870.69
Lorin,Male,22:04:21,745.06
Alina,Female,17:08:47,32.81
Gottfried,Male,11:15:30,127.38
Otis,Male,23:04:24,995.28
Melessa,Female,7:37:48,552.83
Stafani,Female,7:38:37,951.9
Cherice,Female,23:06:59,42.51
Gloriane,Female,14:30:51,24.34
Evelin,Male,20:11:25,848.86
Leela,Female,14:54:32,657.75
Hastings,Male,5:29:41,210.16
Pandora,Female,19:03:56,824.42
Joella,Female,19:20:35,936.23
Abram,Male,18:45:11,34.83
Rosa,Female,6:49:21,553.04
Kelley,Male,23:52:10,650.06
Ripley,Male,12:01:48,377.62
Gerardo,Male,9:49:35,880.22
Gearalt,Male,15:39:01,288.1
Becka,Female,16:37:24,242.68
Adolph,Male,22:07:53,703.66
Allys,Female,22:01:32,390.06
Ryley,Male,8:54:17,204.02
Worth,Male,21:54:07,585.95
Audie,Female,8:14:37,799.72
Britta,Female,17:07:07,125.02
Alvinia,Female,16:54:34,218.71
Pooh,Male,10:41:08,303.47
Ari,Male,9:31:45,349.58
Andriette,Female,2:33:19,475.33
Norean,Female,5:38:08,441.89
Morey,Male,19:54:14,293.57
Maddy,Male,17:49:39,400.25
Adriana,Female,15:10:49,752.08
Henri,Male,8:04:25,478.57
Alfonse,Male,2:34:46,33.61
Barton,Male,10:37:44,142.08
Cobby,Male,3:33:10,653.73
Theressa,Female,6:12:26,791.58
Drusilla,Female,8:10:00,537.38
Hedwig,Female,23:17:12,553.38
Shaylah,Female,1:22:25,544.73
Vaclav,Male,0:01:28,970.73
Dallas,Female,22:53:20,965.16
Rudie,Male,0:25:14,897.28
Jamie,Male,16:50:45,193.33
Julie,Female,10:07:03,158.43
Connie,Male,8:30:16,734.14
Evan,Male,15:33:02,127.9
Immanuel,Male,18:18:47,170.62
Amelina,Female,14:41:31,615.92
Barnabas,Male,7:42:25,788.47
Donetta,Female,0:05:18,278.0
Nola,Female,16:57:50,485.11
Blithe,Female,16:58:35,815.98
Andros,Male,0:58:47,656.14
Rea,Female,18:52:50,962.47
Christian,Male,17:42:37,689.65
Lindon,Male,21:24:52,590.43
Scarface,Male,14:35:22,186.92
Umberto,Male,17:48:02,374.97
Nanny,Female,0:04:50,124.21
Patrica,Female,0:01:59,468.45
Kate,Female,4:15:51,524.72
Pooh,Female,16:36:06,806.53
Jacinda,Female,23:14:24,376.74
Ursula,Female,20:25:20,530.61
Alethea,Female,11:43:40,452.52
Dougy,Male,19:31:26,901.47
Hendrick,Male,6:15:47,837.89
Luca,Male,7:59:45,12.76
Danita,Female,8:13:45,377.07
Torrence,Male,8:14:20,724.11
Sherwood,Male,5:40:33,893.39
Erina,Female,5:32:21,77.19
Agnese,Female,4:27:32,713.1
Angus,Male,22:24:02,792.28
Derward,Male,23:36:04,871.65
Consalve,Male,0:10:41,842.03
Sylvia,Female,10:51:07,50.73
Dulciana,Female,20:14:02,208.67
Fransisco,Male,4:41:43,449.18
Jeanne,Female,8:06:15,762.01
Isaak,Male,22:13:50,641.52
Brockie,Male,17:18:59,499.79
John,Male,11:14:29,220.0
Filbert,Male,12:19:11,889.3
Osborn,Male,2:08:48,12.2
Emmalee,Female,12:27:14,370.14
Ravid,Male,0:32:02,302.47
Levi,Male,12:31:06,717.21
Verine,Female,17:06:05,737.74
Alfons,Male,23:25:48,759.36
Falkner,Male,23:27:22,554.52
Geralda,Female,3:16:39,708.02
Moise,Male,14:31:38,694.63
Davita,Female,19:21:10,983.16
Justino,Male,13:13:17,455.88
Betsey,Female,4:54:24,545.79
Gilda,Female,3:00:14,494.23
Torey,Male,7:16:25,590.79
Rana,Female,7:33:07,158.27
Sibylla,Female,1:37:11,424.65
Philip,Male,18:49:15,11.79
Glennie,Female,18:30:51,390.98
Fawn,Female,21:33:34,919.13
Gilemette,Female,9:35:16,104.01
Ayn,Female,20:26:05,23.6
Cyrille,Male,21:03:14,721.18
Lorenza,Female,14:42:10,537.23
Jana,Female,12:04:29,626.26
Tandy,Female,21:37:07,392.09
Iggy,Male,22:47:15,519.37
Melesa,Female,4:52:51,891.25
Clint,Male,15:57:30,97.48
Kaitlin,Female,7:21:36,337.26
Camala,Female,17:00:07,563.1
Marj,Female,10:15:28,650.37
Chase,Male,9:55:50,545.76
Ulla,Female,9:15:42,503.38
Betteann,Female,22:49:09,191.79
Westbrook,Male,20:55:38,496.16
Faber,Male,16:25:05,622.91
Quentin,Male,4:12:57,329.64
Jarret,Male,19:32:18,796.16
Katuscha,Female,10:06:42,852.89
Tremaine,Male,2:09:07,55.64
Carlo,Male,18:24:45,852.65
Torrance,Male,16:04:02,473.36
Yance,Male,3:17:48,63.78
Belinda,Female,1:36:56,15.23
Forester,Male,23:21:07,468.97
Alva,Male,18:43:38,536.01
Annie,Female,6:42:20,580.23
Brittne,Female,14:04:11,440.66
Adolphe,Male,3:05:02,448.6
Catrina,Female,18:09:58,530.76
Chester,Male,4:22:12,991.44
Carrissa,Female,5:32:56,520.39
Ambrose,Male,15:29:44,801.07
Lorelle,Female,17:41:18,567.55
Almire,Female,8:10:54,667.42
Rockey,Male,10:17:27,212.33
Selestina,Female,18:29:55,877.46
Minetta,Female,9:33:58,71.05
Velma,Female,20:26:55,191.99
Balduin,Male,8:17:45,759.76
Cornie,Male,7:33:56,19.1
Eli,Male,12:57:05,601.81
Dicky,Male,6:09:20,386.36
Randi,Male,16:57:15,219.43
Reade,Male,11:41:15,166.99
Cymbre,Female,17:58:10,738.27
Rochette,Female,3:41:41,514.26
Catarina,Female,14:33:20,713.31
Kurt,Male,13:12:09,597.19
Koenraad,Male,16:45:00,979.74
Emelita,Female,16:53:52,516.68
Kristoforo,Male,3:47:37,318.68
Nerty,Female,11:05:59,48.33
Pavla,Female,12:15:54,996.77
Joeann,Female,6:13:27,23.36
Roxy,Female,10:01:50,728.14
Perice,Male,14:43:30,919.57
Matthieu,Male,13:42:25,8.97
Merna,Female,11:20:23,852.19
Clark,Male,3:09:16,290.0
Vannie,Female,8:25:24,364.45
Tatiana,Female,19:44:03,505.4
Hoebart,Male,23:35:01,870.55
Gustaf,Male,1:07:25,289.81
Kacey,Female,7:50:52,799.32
